,Media,Tweets Ago,Tweet,Compound,Positive,Negative,Neutral,Date
0,@CBS,1,"RT @PriceIsRight: We're thrilled to be back with all new, fun, and exciting shows!!  We hope to give you another award winning season! HERE…",0.9642,0.527,0.473,0.0,Mon Sep 17 22:01:52 +0000 2018
1,@CBS,2,RT @SalvationCBS: X marks the spot on the heart-stopping season finale of #SalvationCBS tonight at 9/8c on CBS &amp; CBS All Access: https://t.…,0.0,0.0,1.0,0.0,Mon Sep 17 21:41:20 +0000 2018
2,@CBS,3,Waiting for tonight's @Elementary_CBS season finale like https://t.co/Ou8342vGT9,0.3612,0.263,0.737,0.0,Mon Sep 17 19:18:37 +0000 2018
3,@CBS,4,"Due to an NFL overrun, the CBS Sunday lineup is delayed in the East/Central cities ONLY. New start times:… https://t.co/IypoJ0l16P",-0.2263,0.0,0.909,0.091,Sun Sep 16 23:48:59 +0000 2018
4,@CBS,5,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jGE7N https://t.co/co2528…,0.0,0.0,1.0,0.0,Sun Sep 16 14:33:46 +0000 2018
5,@CBS,6,"What happens when a PTA mom steals nearly $100,000 from her daughter's school? Don't miss the #PinkCollarCrimes sea… https://t.co/Gjiy0pByaE",-0.4322,0.07,0.771,0.159,Sat Sep 15 16:00:01 +0000 2018
6,@CBS,7,"RT @CBSAllAccess: No internet, no problem. You can now download and play your favorite shows on CBS All Access! 🙌 Learn how: https://t.co/y…",-0.2481,0.181,0.571,0.248,Fri Sep 14 18:22:59 +0000 2018
7,@CBS,8,@PlaggemeyLee Mac's putting something together. 😉 https://t.co/6ww5HlV6Bx,0.0,0.0,1.0,0.0,Thu Sep 13 20:52:06 +0000 2018
8,@CBS,9,This just in... https://t.co/QG3OYF6Rfv,0.0,0.0,1.0,0.0,Thu Sep 13 20:28:06 +0000 2018
9,@CBS,10,RT @CBSAllAccess: Get excited! Stream original #MurphyBrown episodes for a limited time on CBS All Access before the @MurphyBrownCBS reviva…,0.4753,0.218,0.699,0.083,Thu Sep 13 18:06:49 +0000 2018
10,@CBS,11,"This just in! The 54th #ACMawards will air LIVE from Las Vegas on Sunday, April 7, 2019 at 8/7c on CBS and… https://t.co/Q9e7qxe26l",0.0,0.0,1.0,0.0,Mon Sep 10 17:06:16 +0000 2018
11,@CBS,12,"Due to an NFL overrun, CBS is delayed 17 mins in the following markets: Kansas City, Miami, Tampa, NOLA, New York,… https://t.co/9eXZ9mA1Xb",-0.2263,0.0,0.917,0.083,Sun Sep 09 23:36:09 +0000 2018
12,@CBS,13,Are you ready for some football? 🏈 Stream your favorite NFL games LIVE on #CBSAllAccess today:… https://t.co/eHt8guHoyv,0.6705,0.282,0.718,0.0,Sun Sep 09 14:00:00 +0000 2018
13,@CBS,14,An unforgettable night of inspiring stories and performances highlighting the 10 years of impact #StandUpToCancer c… https://t.co/8bp2XNKwfH,0.4215,0.149,0.851,0.0,Sat Sep 08 16:20:43 +0000 2018
14,@CBS,15,The star-studded event is about to begin! Tune in now to watch #StandUpToCancer on CBS and @cbsallaccess. https://t.co/cD8TJuQBog,0.0,0.0,1.0,0.0,Sat Sep 08 00:00:00 +0000 2018
15,@CBS,16,"RT @cbsallaccess: Join #TellMeAStory's @daniellemcam, @BillyMagnussen &amp; Dorian Missick by standing up to cancer! Watch @SU2C tonight at 8/7…",-0.5411,0.092,0.712,0.196,Fri Sep 07 23:15:09 +0000 2018
16,@CBS,17,Tune in to a first-of-its-kind digital live show as lead up to @SU2C’s televised event tonight! The show will featu… https://t.co/hIVaLAXYmR,0.0,0.0,1.0,0.0,Fri Sep 07 21:50:51 +0000 2018
17,@CBS,18,Hollywood legend Burt Reynolds has passed away at the age of 82. He will be missed. https://t.co/HSmcJ9X9iC,-0.296,0.0,0.879,0.121,Thu Sep 06 22:10:49 +0000 2018
18,@CBS,19,Here are @FBICBS’ @JeremySisto and @EboneeReigne with a powerful message before #StandUpToCancer airs tomorrow! https://t.co/OCqh91N1OO,0.4753,0.192,0.808,0.0,Thu Sep 06 19:00:01 +0000 2018
19,@CBS,20,Here's everything you need to know before tuning into #StandUpToCancer this Friday at 8/7c: https://t.co/IT9ht84TZ1 https://t.co/OK4AOxw5mP,0.0,0.0,1.0,0.0,Wed Sep 05 21:00:00 +0000 2018
20,@CBS,21,Survivor host @JeffProbst is here to break down the theme of #Survivor: David vs. Goliath before the new season beg… https://t.co/8TcA200eFQ,0.3612,0.111,0.889,0.0,Wed Sep 05 17:32:40 +0000 2018
21,@CBS,22,"Thanks, @StephenAtHome. 
P.S. Nice beard. #LSSC https://t.co/wppVtfR9cL",0.6908,0.533,0.467,0.0,Wed Sep 05 16:48:09 +0000 2018
22,@CBS,23,The biggest names in entertainment are coming together once again for #StandUpToCancer this Friday at 8/7c on @CBS… https://t.co/ntuGKLYvuW,0.4215,0.135,0.865,0.0,Tue Sep 04 20:34:26 +0000 2018
23,@CBS,24,RT @cbsallaccess: Stream #17 @WestVirginiaU vs. @UTKnoxville LIVE today at 3:30PM ET on CBS All Access! Try 1 month FREE using code BINGENO…,0.6514,0.171,0.829,0.0,Sat Sep 01 15:25:34 +0000 2018
24,@CBS,25,"In just one week, @RWitherspoon, @McConaughey, Jennifer Garner, and more will attend the #​StandUpToCancer fundrais… https://t.co/iHKGOoWejA",0.0,0.0,1.0,0.0,Fri Aug 31 21:26:49 +0000 2018
25,@CBS,26,"Believe in miracles. Watch this sneak peek of the complete premiere episode of @GodFriendedMe now, a month before i… https://t.co/5AIUH5VmMk",0.0,0.0,1.0,0.0,Fri Aug 31 18:01:01 +0000 2018
26,@CBS,27,"RT @cbsallaccess: Money. Murder. Mystery. #OneDollar is now streaming, exclusively on CBS All Access. https://t.co/3qFdTEmVU5 https://t.co/…",-0.6908,0.0,0.761,0.239,Thu Aug 30 19:45:51 +0000 2018
27,@CBS,28,RT @GodFriendedMe: It's a godsend! We're dropping the #GodFriendedMe pilot tomorrow right here on Twitter for you to stream a full month be…,0.6239,0.17,0.83,0.0,Thu Aug 30 15:32:47 +0000 2018
28,@CBS,29,"It's almost time for sweater weather, pumpkin spice lattes, and CBS Fall TV premieres. Check out the storylines for… https://t.co/BpgDyYl8fc",0.0,0.0,1.0,0.0,Mon Aug 27 23:36:57 +0000 2018
29,@CBS,30,RT @cbsallaccess: #NFL preseason coverage is here! 🏈 The Detroit @Lions battle the Tampa Bay @Buccaneers tonight at 8PM ET. Stream the game…,-0.4389,0.0,0.879,0.121,Fri Aug 24 20:30:16 +0000 2018
30,@CBS,31,"@bigbangtheory 🎶...happy kitty, sleepy kitty, purr purr purr🎶 #TheBigBangTheory https://t.co/sEObppGJlZ",0.0,0.0,1.0,0.0,Wed Aug 22 20:55:25 +0000 2018
31,@CBS,32,"This is going to require multiple singings of ""Soft Kitty."" https://t.co/UdRGNeQ7Lb",0.0,0.0,1.0,0.0,Wed Aug 22 20:10:12 +0000 2018
32,@CBS,33,Got to get more of the @PaulMcCartney #CarpoolKaraoke into your life? @latelateshow produced an hour-long bonus spe… https://t.co/DjPqajo6Xn,0.5423,0.171,0.829,0.0,Mon Aug 20 21:59:56 +0000 2018
33,@CBS,34,"How much does it cost to bury the truth? 
#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/ZL5TBH9ro5",0.3182,0.113,0.887,0.0,Fri Aug 17 17:42:02 +0000 2018
34,@CBS,35,Things got carried away when @ArianaGrande joined @latelateshow for #CarpoolKaraoke. So did Ariana. #ArianaCarpool https://t.co/WSZcC0TaYz,0.0,0.0,1.0,0.0,Thu Aug 16 18:40:09 +0000 2018
35,@CBS,36,RT @cbsallaccess: Murder mystery set in a small town? We're in. Rediscover the genius of original #TwinPeaks co-creators @DAVID_LYNCH and @…,-0.5267,0.092,0.72,0.188,Thu Aug 16 00:09:03 +0000 2018
36,@CBS,37,New start times for @60Minutes 7:20ET/6:20CT @CBSBigBrother 8:20ET/7:20CT @NCISLA 9:20ET/8:20CT @Elementary_CBS 10:… https://t.co/Op9VcDsREa,0.0,0.0,1.0,0.0,Sun Aug 12 23:30:02 +0000 2018
37,@CBS,38,Clear your schedules for the 100th #PGAChamp! Stream the Final Round LIVE on @cbsallaccess at 2 PM ET across all de… https://t.co/m6bH2pKTUN,0.4389,0.126,0.874,0.0,Sun Aug 12 15:04:59 +0000 2018
38,@CBS,39,The fortune teller you’ll meet this Saturday lived a life of luxury... by scamming her victims out of hundreds of t… https://t.co/fJo6F2Eo5p,-0.3182,0.0,0.897,0.103,Sat Aug 11 18:00:00 +0000 2018
39,@CBS,40,The 100th PGA Championship continues today! Stream it LIVE on @cbsallaccess at 2PM ET across all devices. Try 1 Wee… https://t.co/jbMg06eOND,0.4926,0.144,0.856,0.0,Sat Aug 11 15:00:02 +0000 2018
40,@CBS,41,"To celebrate the 100th PGA Championship, relive some of the tournament's greatest moments with Luke Wilson. 

Don't… https://t.co/wUuB93smr4",0.8957,0.419,0.581,0.0,Fri Aug 10 22:28:55 +0000 2018
41,@CBS,42,"RT @TrueCrimeCBS: When Glenn Walp and Steve Doran uncovered theft at the Los Alamos National Laboratory, they HAD to blow their whistles. W…",0.0,0.0,1.0,0.0,Fri Aug 10 19:59:14 +0000 2018
42,@CBS,43,Want to create your own @CBSBigBrother or @TKOCBS meme using one the photos here? It’s your lucky day! Head over to… https://t.co/JHJWykNkQT,0.6696,0.255,0.745,0.0,Thu Aug 09 21:00:00 +0000 2018
43,@CBS,44,Time to celebrate! Your favorite Daytime shows will premiere with new seasons this fall. See all of the @CBSDaytime… https://t.co/GNkK4Zf2kD,0.7901,0.28,0.72,0.0,Thu Aug 09 18:47:00 +0000 2018
44,@CBS,45,"Love is in the air, and the water! International smash hit #LoveIsland is coming to CBS. https://t.co/nepabuNoSU https://t.co/Cxgvkv463u",0.6696,0.209,0.791,0.0,Wed Aug 08 16:05:11 +0000 2018
45,@CBS,46,The Executive Producers of @CBSBigBrother are teaming up with @KingJames and @MavCarter for an unprecedented televi… https://t.co/V88bDeHmQs,0.0,0.0,1.0,0.0,Tue Aug 07 16:06:57 +0000 2018
46,@CBS,47,"RT @cbsallaccess: Executive Producer of Tell Me A Story, @kevwilliamson, says ""What I like about the show, there’s nothing else on TV like…",0.3612,0.111,0.889,0.0,Mon Aug 06 00:20:55 +0000 2018
47,@CBS,48,RT @TheNeighborhood: Feel the love in this new teaser for #TheNeighborhood from the #CBS #TCA18! 🤗 https://t.co/rPmCozH5XP,0.5411,0.219,0.683,0.098,Mon Aug 06 00:07:38 +0000 2018
48,@CBS,49,RT @TheNeighborhood: Find out why Cedric the Entertainer and the cast think #TheNeighborhood is the kind of show that everyone can relate t…,0.3818,0.106,0.894,0.0,Mon Aug 06 00:02:58 +0000 2018
49,@CBS,50,That's all for our #CBS #TCA18 panels! Tune in this fall to watch all your favorite new shows. 🙌 https://t.co/hM85o9eRi8,0.5093,0.155,0.845,0.0,Mon Aug 06 00:02:02 +0000 2018
50,@CBS,51,"RT @MagnumPICBS: ""If there was ever a time to bring back #MagnumPI, it's now."" - @PLenkov 
#CBS #TCA2018",0.0,0.0,1.0,0.0,Sun Aug 05 23:58:41 +0000 2018
51,@CBS,52,"RT @MagnumPICBS: ""There are a lot of easter eggs from the original that fans from the original series will love, and they're peppered throu…",0.8316,0.306,0.694,0.0,Sun Aug 05 23:44:39 +0000 2018
52,@CBS,53,"RT @MagnumPICBS: ""What we are trying to do is introduce the show to a new audience...it's going to open it up for anyone that's new and the…",0.0,0.0,1.0,0.0,Sun Aug 05 23:41:21 +0000 2018
53,@CBS,54,"RT @MagnumPICBS: ""This has been my white whale since I was a kid. I always loved #MagnumPI. Putting words in Magnum's mouth is something I'…",0.5994,0.157,0.843,0.0,Sun Aug 05 23:35:49 +0000 2018
54,@CBS,55,RT @MagnumPICBS: It's #MagnumPI time at the #CBS #TCA2018! Follow along as we live tweet the panel!,0.0,0.0,1.0,0.0,Sun Aug 05 23:35:46 +0000 2018
55,@CBS,56,RT @happytogether: Thanks for following along! That concludes the #HappyTogether panel at the #CBS #TCA2018! @MagnumPICBS is up next!,0.5826,0.173,0.827,0.0,Sun Aug 05 23:16:25 +0000 2018
56,@CBS,57,"RT @happytogether: Question: Even though you're not playing @Harry_Styles, did you do a Harry crash course?
@itsfelixwot: Absolutely not. C…",-0.5093,0.0,0.798,0.202,Sun Aug 05 23:12:39 +0000 2018
57,@CBS,58,"RT @happytogether: ""The show is about marriage, it's about getting a bit older, it's about youthfulness, it's about something happening and…",0.0,0.0,1.0,0.0,Sun Aug 05 23:10:20 +0000 2018
58,@CBS,59,"RT @happytogether: ""It's always good to have a little bit of truth in whatever you're making.""- @wayansjr 

#HappyTogether #CBS #TCA2018",0.6041,0.225,0.775,0.0,Sun Aug 05 23:05:58 +0000 2018
59,@CBS,60,"RT @happytogether: ""I thought I was still young and cool until I met @itsfelixwot!"" -@AmberoniStevens #HappyTogether #CBS #TCA2018",0.3802,0.147,0.853,0.0,Sun Aug 05 23:01:25 +0000 2018
60,@CBS,61,"RT @happytogether: ""We never wanted to create a show where people think ""Oh, did @Harry_Styles do that?"" -@benwinston on emphasizing that #…",-0.2057,0.0,0.917,0.083,Sun Aug 05 22:58:41 +0000 2018
61,@CBS,62,RT @happytogether: .@wayansjr is quick to point out that the characters in #HappyTogether are fictional. #CBS #TCA2018,0.0,0.0,1.0,0.0,Sun Aug 05 22:58:36 +0000 2018
62,@CBS,63,"RT @happytogether: ""@Harry_Styles became part of the family. We didn't want him to move out."" -@benwinston #CBS #HappyTogether #TCA18",-0.0572,0.0,0.936,0.064,Sun Aug 05 22:53:12 +0000 2018
63,@CBS,64,"RT @happytogether: ""It's about Cooper who wants nothing but normality and a boring life, and Jake and Claire, who want more excitement."" -@…",-0.3612,0.059,0.82,0.121,Sun Aug 05 22:52:24 +0000 2018
64,@CBS,65,"RT @happytogether: ""It's loosely inspired (by the time @Harry_Styles lived with @benwinston), because if we put what actually happened on t…",0.4939,0.138,0.862,0.0,Sun Aug 05 22:49:06 +0000 2018
65,@CBS,66,RT @happytogether: It's time for the #HappyTogether panel at the #CBS #TCA18! Follow along here!,0.0,0.0,1.0,0.0,Sun Aug 05 22:46:49 +0000 2018
66,@CBS,67,RT @GodFriendedMe: Thanks for following along during the #GodFriendedMe panel at #CBS #TCA18—@HappyTogether is up next!,0.4926,0.175,0.825,0.0,Sun Aug 05 22:32:37 +0000 2018
67,@CBS,68,"RT @GodFriendedMe: ""You don't have to believe in God to believe in good."" 🙌@JOEtheMORTON #GodFriendedMe #CBS",0.2732,0.123,0.877,0.0,Sun Aug 05 22:32:30 +0000 2018
68,@CBS,69,RT @GodFriendedMe: “It’s incredibly important to us that we’re not a show that’s preachy or judgmental. Whether you believe or don’t believ…,0.2716,0.095,0.905,0.0,Sun Aug 05 22:16:36 +0000 2018
69,@CBS,70,"RT @GodFriendedMe: ""Our feet are on the ground. Our characters are not angels, they’re not heavenly, they’re just real people. The 'opposin…",-0.4973,0.0,0.867,0.133,Sun Aug 05 22:16:29 +0000 2018
70,@CBS,71,RT @GodFriendedMe: Follow along with us as we live-tweet the #GodFriendedMe panel at #CBS #TCA18 with stars @hall_m_brandon @violettbeane @…,0.0,0.0,1.0,0.0,Sun Aug 05 22:16:19 +0000 2018
71,@CBS,72,"RT @cbsallaccess: From the writer of Scream, The Vampire Diaries and The Following, comes a modern day twist on classic fairy tales. 

#Tel…",-0.4019,0.0,0.886,0.114,Sun Aug 05 22:05:44 +0000 2018
72,@CBS,73,"RT @cbsallaccess: Small town. Big murder. Follow the Money. 

#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/T…",-0.6908,0.0,0.793,0.207,Sun Aug 05 22:00:47 +0000 2018
73,@CBS,74,RT @cbsallaccess: That's a wrap on the #TellMeAStory panel! @GodFriendedMe is up next! #TCA18 #CBSAllAccess,0.0,0.0,1.0,0.0,Sun Aug 05 21:48:41 +0000 2018
74,@CBS,75,"RT @cbsallaccess: ""What I love about New York City - besides being the best city in the world - it's textural, it's real, it has everything…",0.8555,0.286,0.714,0.0,Sun Aug 05 21:48:36 +0000 2018
75,@CBS,76,RT @cbsallaccess: Who's ready to see @KimCattrall play @daniellemcam's (AKA Little Red Riding Hood) grandmother? #TellMeAStory #TCA18 #CBSA…,0.5994,0.234,0.766,0.0,Sun Aug 05 21:48:29 +0000 2018
76,@CBS,77,"RT @cbsallaccess: ""What I like about this show is that there's nothing else on TV like it right now."" -@kevwilliamson #TellMeAStory #TCA18…",0.6124,0.208,0.792,0.0,Sun Aug 05 21:31:15 +0000 2018
77,@CBS,78,"RT @MurphyBrownCBS: According to Candice Bergen and Diane English, there's never been a more perfect time to revive #MurphyBrown! https://t…",-0.2748,0.105,0.742,0.153,Sun Aug 05 20:58:52 +0000 2018
78,@CBS,79,"RT @MurphyBrownCBS: #MurphyBrown has always been a political show, and that won't change! Read on about how the show plans to cover hot top…",0.0,0.0,1.0,0.0,Sun Aug 05 20:56:17 +0000 2018
79,@CBS,80,"RT @FBICBS: ""People are going to get a very realistic view of how that office operates and the stresses. It's a zero-tolerance FBI office.…",-0.4588,0.0,0.875,0.125,Sun Aug 05 20:10:33 +0000 2018
80,@CBS,81,Stay tuned for more #CBS #TCA18 action! The @cbsallaccess panel is up next. 👍🏼 https://t.co/fcjiEwpaN0,0.0,0.0,1.0,0.0,Sun Aug 05 19:43:38 +0000 2018
81,@CBS,82,"RT @FBICBS: #FBIFam, this should cure your #SundayScaries! Check out the #FBI preview that was shown at the #CBS #TCA18 before the panel. h…",0.0,0.0,1.0,0.0,Sun Aug 05 19:22:22 +0000 2018
82,@CBS,83,"RT @TheNeighborhood: ""Once we shot the pilot, we knew that we had a great show."" -@CedEntertainer #TheNeighborhood #CBS",0.6249,0.204,0.796,0.0,Sun Aug 05 19:21:28 +0000 2018
83,@CBS,84,"RT @TheNeighborhood: ""It was so well done, as far as I was concerned, that it became a no brainer to do the show. I called the next morning…",0.1384,0.098,0.823,0.079,Sun Aug 05 19:16:45 +0000 2018
84,@CBS,85,"RT @TheNeighborhood: ""This is a show about people. This is a show about families, neighbors, friendships... At its core, this is a show abo…",0.0,0.0,1.0,0.0,Sun Aug 05 19:15:53 +0000 2018
85,@CBS,86,"RT @TheNeighborhood: We're here at the #CBS #TCA18 giving you the inside scoop on #TheNeighborhood with our stars @CedEntertainer, @Tichina…",0.4588,0.182,0.818,0.0,Sun Aug 05 18:54:24 +0000 2018
86,@CBS,87,RT @MurphyBrownCBS: That's a wrap on the #MurphyBrown panel at #TCA18! @TheNeighborhood is up next! #CBS,0.0,0.0,1.0,0.0,Sun Aug 05 18:01:09 +0000 2018
87,@CBS,88,"RT @MurphyBrownCBS: Diane English reveals ""We have an enormously famous person in our first episode,"" but keeps the secret under wraps! 🙊 #…",0.0,0.0,1.0,0.0,Sun Aug 05 17:55:07 +0000 2018
88,@CBS,89,"RT @MurphyBrownCBS: Diane English talks about how to stay topically relevant while writing scripts ahead of time &amp; also said, ""We have an i…",0.0,0.0,1.0,0.0,Sun Aug 05 17:51:13 +0000 2018
89,@CBS,90,RT @MurphyBrownCBS: All the feels! ❤️ #MurphyBrown returns to #CBS this fall! https://t.co/OvQk3CV49W,0.0,0.0,1.0,0.0,Sun Aug 05 17:47:01 +0000 2018
90,@CBS,91,"RT @MurphyBrownCBS: ""It's been very emotional for the old guys... We saw Murphy's townhouse and we all got tears in our eyes."" -Candice Ber…",-0.0018,0.073,0.853,0.074,Sun Aug 05 17:39:48 +0000 2018
91,@CBS,92,"Stay tuned, because @MurphyBrownCBS is up next at the #CBS #TCA18! https://t.co/0qdjQiFrwW",0.0,0.0,1.0,0.0,Sun Aug 05 17:28:37 +0000 2018
92,@CBS,93,"RT @FBICBS: “Even though I was scared to say yes, it was so clear you don’t say no. I knew I couldn’t say no. I couldn’t be more grateful,…",-0.0602,0.182,0.599,0.219,Sun Aug 05 17:28:03 +0000 2018
93,@CBS,94,"RT @FBICBS: What's it like for @JeremySisto coming back to a Dick Wolf show?

""It's one of the most stable ships you can be on... It's exci…",0.1761,0.16,0.735,0.105,Sun Aug 05 17:27:46 +0000 2018
94,@CBS,95,"RT @FBICBS: ""We're celebrating the troops on the ground... There are endless stories in there."" - Dick Wolf on why he wanted to focus the s…",0.1027,0.123,0.767,0.11,Sun Aug 05 17:27:41 +0000 2018
95,@CBS,96,"RT @FBICBS: “It’s really exciting to be here for the first time in a long, long, long, long time.” - Dick Wolf #CBS #TCA18",0.0498,0.13,0.746,0.123,Sun Aug 05 17:27:31 +0000 2018
96,@CBS,97,Celebrate #NationalSistersDay with an iconic group of sisters! Watch how these three became part of The Brady Bunch… https://t.co/nBVjxl4AbP,0.6114,0.182,0.818,0.0,Sun Aug 05 14:47:12 +0000 2018
97,@CBS,98,RT @startrekcbs: Executive Producer Alex Kurtzman and @SirPatStew surprised fans today at #STLV with news that he will be returning to the…,0.2263,0.083,0.917,0.0,Sat Aug 04 22:57:37 +0000 2018
98,@CBS,99,Watching a 💯 spin on @PriceIsRight never gets old…especially when it’s Mila Kunis! https://t.co/NPOukc3jPz,0.0,0.0,1.0,0.0,Sat Aug 04 00:24:55 +0000 2018
99,@CBS,100,"RT @TrueCrimeCBS: The chances of successfully blowing the whistle are slim, but did a Wells Fargo personal banker beat the odds?

Find out…",0.6124,0.24,0.76,0.0,Fri Aug 03 22:34:08 +0000 2018
